"gsid","index_no","station","district","year","month","days","rainfall_sum"
"366","1030","Kathmandu Airport","Kathmandu","2017","11","30","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","06","0.1"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","24","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","25","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","26","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","27","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","28","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","29","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","30","0"
"366","1030","Kathmandu Airport","Kathmandu","2017","12","31","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","01","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","02","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","03","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","04","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","05","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","06","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","07","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","08","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","09","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","10","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","11","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","12","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","13","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","14","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","15","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","16","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","17","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","18","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","19","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","20","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","21","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","22","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","23","0"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","24","1.5"
"366","1030","Kathmandu Airport","Kathmandu","2018","01","25","4.6"
