datetime, Max, Min, Average
11/14/2017 05, 10.6999998093, 10.3000001907, 10.464999818789996, 
11/14/2017 06, 11, 10.6999998093, 10.868333244306658, 
11/14/2017 07, 12.3999996185, 10.8000001907, 11.358333333321667, 
11/14/2017 08, 16.7999992371, 12.3999996185, 14.694999980923333, 
11/14/2017 09, 18.7999992371, 16.7000007629, 17.55666656494833, 
11/14/2017 10, 21.5, 18.7999992371, 19.959999974575, 
11/14/2017 11, 21.5, 20.5, 20.94000005722, 
11/14/2017 12, 22.6000003815, 20.6000003815, 21.759999942775003, 
11/14/2017 13, 22.6000003815, 21.5, 21.986666742955002, 
11/14/2017 14, 22.2000007629, 21.3999996185, 21.90338994687966, 
11/14/2017 15, 22, 20.6000003815, 21.368333371476655, 
11/14/2017 16, 20.7000007629, 18.8999996185, 19.723333295191665, 
11/14/2017 17, 18.7999992371, 17.7000007629, 18.135000069928328, 
11/14/2017 18, 17.6000003815, 17, 17.335000038146664, 
11/14/2017 19, 17, 15.6999998093, 16.209999942770008, 
11/14/2017 20, 15.6000003815, 14.6999998093, 15.138333257031672, 
11/14/2017 21, 14.6999998093, 13.5, 14.051666704821663, 
11/14/2017 22, 13.6000003815, 13, 13.251724243179307, 
11/14/2017 23, 13.1000003815, 12.6000003815, 12.82833325069001, 
11/15/2017 00, 12.6999998093, 11.6000003815, 12.125000000008331, 
11/15/2017 01, 11.6999998093, 11.1999998093, 11.518644074269488, 
11/15/2017 02, 11.1999998093, 11, 11.118333498664992, 
11/15/2017 03, 11.1999998093, 10.5, 11.015000073138333, 
11/15/2017 04, 10.5, 10.1000003815, 10.259999974568338, 
11/15/2017 05, 10.3999996185, 10.1000003815, 10.263333352400002, 
11/15/2017 06, 10.3000001907, 9.89999961853, 10.221666828774833, 
11/15/2017 07, 11.3999996185, 10.1999998093, 10.814999977751667, 
11/15/2017 08, 14.1999998093, 11.3999996185, 12.776666625336674, 
11/15/2017 09, 17.7000007629, 14.1999998093, 16.115000041321665, 
11/15/2017 10, 19.7999992371, 17.5, 18.74833335876999, 
11/15/2017 11, 21.7000007629, 19.2999992371, 20.694999949138328, 
11/15/2017 12, 22, 20.3999996185, 21.23166672388333, 
11/15/2017 13, 22.7999992371, 21.1000003815, 21.91016953678644, 
11/15/2017 14, 23.2999992371, 22.6000003815, 22.893333403268322, 
11/15/2017 15, 23.2000007629, 21.5, 22.24000008901499, 
11/15/2017 16, 21.5, 19.7000007629, 20.70677977092374, 
11/15/2017 17, 19.7000007629, 17.8999996185, 18.708333396906667, 
11/15/2017 18, 17.8999996185, 17.2000007629, 17.561666615795, 
11/15/2017 19, 17.2000007629, 16.2999992371, 16.853333409614997, 
11/15/2017 20, 16.2000007629, 15, 15.633333412804998, 
11/15/2017 21, 14.8999996185, 14.3000001907, 14.669999917360009, 
11/15/2017 22, 14.3000001907, 13.6999998093, 13.955932164606784, 
11/15/2017 23, 14.3999996185, 13.8000001907, 14.009999847400001, 
11/16/2017 00, 14.5, 13.8000001907, 14.194999917341663, 
11/16/2017 01, 13.8000001907, 13.6000003815, 13.656666755706674, 
11/16/2017 02, 13.6000003815, 13.1999998093, 13.443333228420006, 
11/16/2017 03, 13.3000001907, 12.8999996185, 13.146666796996666, 
11/16/2017 04, 13.1000003815, 12.6000003815, 12.836666742963336, 
11/16/2017 05, 12.6999998093, 11.8000001907, 12.136666615798331, 
11/16/2017 06, 12.1999998093, 12, 12.036666679390004, 
11/16/2017 07, 13.6000003815, 12, 12.56166666348333, 
11/16/2017 08, 16.2999992371, 13.6999998093, 15.030000050868335, 
11/16/2017 09, 18, 15.8000001907, 17.37627105388644, 
11/16/2017 10, 20.5, 17.2000007629, 18.34333333968667, 
11/16/2017 11, 21, 19.7999992371, 20.329999987281667, 
11/16/2017 12, 22, 20.3999996185, 20.984999974565003, 
11/16/2017 13, 21, 20.5, 20.726666577661675, 
11/16/2017 14, 21.2999992371, 20.7999992371, 21.07796636676608, 
11/16/2017 15, 21.2999992371, 20.1000003815, 20.548333390553342, 
11/16/2017 16, 20.2999992371, 19.3999996185, 19.880000019075002, 
11/16/2017 17, 19.3999996185, 18.3999996185, 18.896666590373336, 
11/16/2017 18, 18.3999996185, 17.7999992371, 18.1200000445, 
11/16/2017 19, 17.7999992371, 16.7999992371, 17.21333312989167, 
11/16/2017 20, 16.7999992371, 16.2000007629, 16.450000063575, 
11/16/2017 21, 16.5, 16.2000007629, 16.318333212518336, 
11/16/2017 22, 16.2000007629, 15.6000003815, 15.963333511345002, 
11/16/2017 23, 15.6000003815, 15.3999996185, 15.500000000000004, 
11/17/2017 00, 15.5, 14.5, 15.06833337146833, 
11/17/2017 01, 14.3999996185, 13.1999998093, 13.789999977746671, 
11/17/2017 02, 13.1999998093, 12.6999998093, 12.858333317433337, 
11/17/2017 03, 12.8000001907, 12.3000001907, 12.466666714329984, 
11/17/2017 04, 12.3000001907, 11.8000001907, 12.04166657130333, 
11/17/2017 05, 11.6999998093, 11.5, 11.641666714380012, 
11/17/2017 06, 11.8000001907, 11.6000003815, 11.66833340329667, 
11/17/2017 07, 13.5, 11.8999996185, 12.598333295186668, 
11/17/2017 08, 17.2000007629, 13.5, 15.574999968206669, 
11/17/2017 09, 19.6000003815, 17, 18.568333371479998, 
11/17/2017 10, 21.7000007629, 19, 20.591666698454993, 
11/17/2017 11, 23.1000003815, 20.8999996185, 22.324999968210005, 
11/17/2017 12, 24.2999992371, 22.5, 23.50666675567667, 
11/17/2017 13, 24, 22.6000003815, 23.334999974566664, 
11/17/2017 14, 23, 22.1000003815, 22.521666749319987, 
11/17/2017 15, 22.2999992371, 21.3999996185, 21.846666812894988, 
11/17/2017 16, 21.3999996185, 19.3999996185, 20.44166657130167, 
11/17/2017 17, 19.3999996185, 18.5, 18.896666876473333, 
